company_name,symbol,exchange,sector,industry,theme,market_cap_type,is_sme
20 Microns Limited,20MICRONS,NSE,,,,,False
21st Century Management Services Limited,21STCENMGM,NSE,,,,,False
360 ONE WAM LIMITED,360ONE,NSE,,,,,False
3B Blackbio Dx Limited,3BBLACKBIO,NSE,,,,,False
3i Infotech Limited,3IINFOLTD,NSE,,,,,False
3M India Limited,3MINDIA,NSE,,,,,False
3P Land Holdings Limited,3PLAND,NSE,,,,,False
5Paisa Capital Limited,5PAISA,NSE,,,,,False
63 moons technologies limited,63MOONS,NSE,,,,,False
A2Z Infra Engineering Limited,A2ZINFRA,NSE,,,,,False
AAA Technologies Limited,AAATECH,NSE,,,,,False
Aadhar Housing Finance Limited,AADHARHFC,NSE,,,,,False
Aakash Exploration Services Limited,AAKASH,NSE,,,,,False
Aarey Drugs & Pharmaceuticals Limited,AAREYDRUGS,NSE,,,,,False
Aarnav Fashions Limited,AARNAV,NSE,,,,,False
Aaron Industries Limited,AARON,NSE,,,,,False
Aartech Solonics Limited,AARTECH,NSE,,,,,False
Aarti Drugs Limited,AARTIDRUGS,NSE,,,,,False
Aarti Industries Limited,AARTIIND,NSE,,,,,False
Aarti Pharmalabs Limited,AARTIPHARM,NSE,,,,,False
Aarti Surfactants Limited,AARTISURF,NSE,,,,,False
Aarvi Encon Limited,AARVI,NSE,,,,,False
Aavas Financiers Limited,AAVAS,NSE,,,,,False
Abans Enterprises Limited,ABANSENT,NSE,,,,,False
ABB India Limited,ABB,NSE,,,,,False
Abbott India Limited,ABBOTINDIA,NSE,,,,,False
Aditya Birla Capital Limited,ABCAPITAL,NSE,,,,,False
A B Cotspin India Limited,ABCOTS,NSE,,,,,False
Allied Blenders and Distillers Limited,ABDL,NSE,,,,,False
Aditya Birla Fashion and Retail Limited,ABFRL,NSE,,,,,False
A B Infrabuild Limited,ABINFRA,NSE,,,,,False
Aditya Birla Lifestyle Brands Limited,ABLBL,NSE,,,,,False
ABM International Limited,ABMINTLLTD,NSE,,,,,False
ABM Knowledgeware Limited,ABMKNO,NSE,,,,,False
Aditya Birla Real Estate Limited,ABREL,NSE,,,,,False
Aditya Birla Sun Life AMC Limited,ABSLAMC,NSE,,,,,False
ACC Limited,ACC,NSE,,,,,False
Accelya Solutions India Limited,ACCELYA,NSE,,,,,False
Accuracy Shipping Limited,ACCURACY,NSE,,,,,False
