company_name,symbol,exchange,sector,industry,theme,market_cap_type,is_sme
3B Films Ltd,3BFILMS,BSE SME,Capital Goods,Capital Goods,,Micro,True
3C IT Solutions and Telecoms (India) Ltd,3CIT,BSE SME,Information Technology,Information Technology,,Micro,True
AA Plus Tradelink Ltd,AAPLUSTRAD,BSE SME,Services,Services,,Micro,True
Aashka Hospitals Ltd,AASHKA,BSE SME,Healthcare,Healthcare,,Micro,True
Aayush Art And Bullion Ltd,AAYUSHBULL,BSE SME,Textiles,Textiles,,Micro,True
Abram Food Ltd,ABRFL,BSE SME,Fast Moving Consumer Goods,Fast Moving Consumer Goods,,Micro,True
Abril Paper Tech Ltd,ABRIL,BSE SME,Capital Goods,Capital Goods,,Micro,True
Acceleratebs India Ltd,ACCELERATE,BSE SME,Information Technology,Information Technology,,Micro,True
Accord Transformer & Switchgear Ltd,ACCORDTS,BSE SME,Capital Goods,Capital Goods,,Micro,True
Ace Alpha Tech Ltd,ACEALPHA,BSE SME,Information Technology,Information Technology,,Micro,True
Acewin Agriteck Ltd,ACEWIN,BSE SME,Fast Moving Consumer Goods,Fast Moving Consumer Goods,,Micro,True
Amrapali Capital and Finance Services Ltd,ACFSL,BSE SME,Financial Services,Financial Services,,Micro,True
Aelea Commodities Ltd,ACLD,BSE SME,Fast Moving Consumer Goods,Fast Moving Consumer Goods,,Micro,True
Aditya Consumer Marketing Ltd,ACML,BSE SME,Consumer Services,Consumer Services,,Micro,True
Adcounty Media India Ltd,ADCOUNTY,BSE SME,"Media, Entertainment & Publication","Media, Entertainment & Publication",,Micro,True
Adeshwar Meditex Ltd,ADESHWAR,BSE SME,Healthcare,Healthcare,,Micro,True
Adhiraj Distributors Ltd (ITP),ADHIRAJ (ITP),BSE SME,-,-,,Micro,True
Adishakti Loha and Ispat Ltd,ADISHAKTI,BSE SME,Capital Goods,Capital Goods,,Micro,True
Admach Systems Ltd,ADMACH,BSE SME,Capital Goods,Capital Goods,,Micro,True
Afcom Holdings Ltd,AFCOM,BSE SME,Services,Services,,Micro,True
Autofurnish Ltd,AFLTD,BSE SME,Automobile and Auto Components,Automobile and Auto Components,,Micro,True
Agrimony Commodities Ltd,AGRIMONY,BSE SME,Services,Services,,Micro,True
Ahasolar Technologies Ltd,AHASOLAR,BSE SME,Consumer Services,Consumer Services,,Micro,True
AIK Pipes and Polymers Ltd,AIKPIPES,BSE SME,Capital Goods,Capital Goods,,Micro,True
Airfloa Rail Technology Ltd,AIRFLOA,BSE SME,Capital Goods,Capital Goods,,Micro,True
AJC Jewel Manufacturers Ltd,AJCJEWEL,BSE SME,Consumer Durables,Consumer Durables,,Micro,True
Alkosign Ltd,ALKOSIGN,BSE SME,Fast Moving Consumer Goods,Fast Moving Consumer Goods,,Micro,True
Alphalogic Industries Ltd,ALPHAIND,BSE SME,Capital Goods,Capital Goods,,Micro,True
Amanaya Ventures Ltd,AMANAYA,BSE SME,Metals & Mining,Metals & Mining,,Micro,True
Ambo Agritec Ltd,AMBOAGRI,BSE SME,Fast Moving Consumer Goods,Fast Moving Consumer Goods,,Micro,True
Ameenji Rubber Ltd,AMEENJI,BSE SME,Capital Goods,Capital Goods,,Micro,True
Amic Forging Ltd,AMIC,BSE SME,Capital Goods,Capital Goods,,Micro,True
Amkay Products Ltd,AMKAY,BSE SME,Healthcare,Healthcare,,Micro,True
Amrapali Fincap Ltd,AMRAFIN,BSE SME,Financial Services,Financial Services,,Micro,True
Amwill Health Care Ltd,AMWILL,BSE SME,Healthcare,Healthcare,,Micro,True
Angel Fibers Ltd,ANGEL,BSE SME,Textiles,Textiles,,Micro,True
Accretion Nutraveda Ltd,ANL,BSE SME,Healthcare,Healthcare,,Micro,True
Asston Pharmaceuticals Ltd,APL,BSE SME,Healthcare,Healthcare,,Micro,True
Aptus Pharma Ltd,APPL,BSE SME,Healthcare,Healthcare,,Micro,True
Arambhan Hospitality Services Ltd,ARAMBHAN,BSE SME,Consumer Services,Consumer Services,,Micro,True
Arihant Institute Ltd,ARIHANTINS,BSE SME,Consumer Services,Consumer Services,,Micro,True
Aritas Vinyl Ltd,ARITAS,BSE SME,Consumer Durables,Consumer Durables,,Micro,True
Arrowhead Seperation Engineering Ltd,ARROWHEAD,BSE SME,Capital Goods,Capital Goods,,Micro,True
Asarfi Hospital Ltd,ASARFI,BSE SME,Healthcare,Healthcare,,Micro,True
Associated Coaters Ltd,ASSOCIATED,BSE SME,Capital Goods,Capital Goods,,Micro,True
Astonea Labs Ltd,ASTONEALAB,BSE SME,Healthcare,Healthcare,,Micro,True
