company_name,market_cap,np_qtr,roce,debt_equity,eps_12m,promoter_holding,cmp_pcf,roe,pat_12m,opm,sales_growth_3y,profit_growth_3y,fii_holding,dii_holding,cap_category,sector,industry
Narmada Gelatine,306.2,9.58,27.87,0.06,47.01,75.0,30.42,21.81,28.44,19.17,4.07,25.76,0.0,0.0,Micro Cap,Chemicals,Chemicals
Unjha Formul.,8.29,-0.74,27.79,0.0,1.56,36.92,14.61,20.06,0.7,7.05,6.2,35.72,0.0,0.0,Micro Cap,Healthcare,Healthcare
Hindustan Hardy,122.52,1.88,27.78,0.25,55.92,66.16,-181.06,25.01,8.38,11.08,19.92,30.28,0.0,0.0,Micro Cap,Capital Goods,Capital Goods
Prime Cable Ind.,223.74,6.76,27.78,0.85,6.68,68.53,-15.79,36.4,13.72,10.0,47.25,350.56,1.05,10.81,Micro Cap,Capital Goods,Capital Goods
Samay Project,71.38,4.0,27.7,0.09,4.48,69.19,-55.73,21.24,6.39,15.13,35.1,34.78,0.29,4.09,Micro Cap,Construction,Construction
Monarch Networth,2696.56,45.56,27.68,0.04,22.86,53.85,1516.56,20.49,181.19,69.27,32.08,61.56,1.47,0.15,Small Cap,Financial Services,Financial Services
Chemkart India,179.67,9.51,27.66,0.04,16.25,74.66,-68.32,21.48,19.66,13.12,17.81,36.92,0.4,4.33,Micro Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
Aimtron,2579.86,25.69,27.65,0.24,22.31,70.9,-66.49,23.6,45.97,21.84,0.0,0.0,0.22,2.17,Small Cap,Capital Goods,Capital Goods
Teerth Gopicon,19.62,-19.13,27.59,0.96,-13.18,63.37,-1.26,26.96,-15.81,-12.44,55.97,340.72,0.0,0.0,Micro Cap,Construction,Construction
Anubhav Plast,83.6,0.0,27.59,2.09,7.57,0.0,87.08,48.1,6.06,13.01,0.0,0.0,0.0,0.0,Micro Cap,Chemicals,Chemicals
NMDC,75205.77,2027.17,27.58,0.19,8.47,60.79,37.34,23.37,7451.1,28.87,21.99,16.81,13.6,13.76,Large Cap,Metals and Mining,Metals and Mining
Defrail Technologies,48.52,2.48,27.58,0.28,5.71,73.6,-8.88,24.44,4.01,9.4,33.53,65.79,4.51,1.66,Micro Cap,Capital Goods,Capital Goods
ASM Technologies,5823.22,16.75,27.56,0.42,41.65,57.96,-223.17,26.23,61.92,19.02,33.85,89.15,0.23,0.43,Small Cap,Information Technology,Information Technology
Accretion Nutruveda,194.61,2.69,27.56,0.12,7.0,73.48,-21.5,24.84,5.07,20.51,126.54,162.59,1.08,7.0,Micro Cap,Healthcare,Healthcare
Fractal Industries,168.52,6.46,27.51,0.15,16.98,69.07,-109.45,29.71,13.33,19.75,0.0,0.0,15.17,2.82,Micro Cap,Textiles,Textiles
United Spirits,97591.73,539.0,27.49,0.05,25.27,56.67,67.2,21.41,1826.21,18.28,5.52,23.45,14.41,15.36,Large Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
Osiajee Texfab,220.02,2.56,27.49,0.27,10.28,2.78,124.78,31.29,5.55,81.66,38.36,70.49,17.56,0.0,Micro Cap,Textiles,Textiles
Jamna Auto Inds.,5317.87,87.27,27.47,0.01,5.78,49.85,55.01,22.37,239.36,15.16,3.95,12.45,9.25,4.83,Small Cap,Automobile and Auto Components,Automobile and Auto Components
Gulf Oil Lubric.,5415.17,90.02,27.46,0.33,71.04,67.01,15.62,24.29,367.31,12.79,10.0,16.77,8.91,8.17,Small Cap,"Oil, Gas and Consumable Fuels","Oil, Gas and Consumable Fuels"
Ceinsys Tech,1931.1,37.17,27.46,0.08,63.72,50.88,606.31,24.76,134.34,22.1,44.39,63.33,10.25,0.19,Small Cap,Information Technology,Information Technology
Inspirisys Sol.,416.97,8.77,27.42,0.82,10.34,69.95,15.24,53.62,42.56,8.52,8.59,37.56,0.0,0.0,Micro Cap,Information Technology,Information Technology
Nitta Gelatin,1506.22,34.1,27.39,0.01,107.1,74.48,22.43,21.07,98.29,23.2,1.33,12.9,0.0,0.93,Small Cap,Chemicals,Chemicals
Unihealth Hosp,953.28,17.09,27.39,0.27,16.45,69.53,-78.83,21.43,25.83,40.76,44.29,49.96,0.0,0.48,Micro Cap,Healthcare,Healthcare
Highness Microelectronics,100.85,3.18,27.39,0.29,7.94,64.96,258.19,24.33,4.1,41.07,18.61,112.05,5.35,10.62,Micro Cap,Capital Goods,Capital Goods
Unique Organics,49.26,1.52,27.33,0.18,13.52,34.64,9.42,21.7,8.05,8.29,-14.15,28.1,0.84,0.0,Micro Cap,Chemicals,Chemicals
RNFI Services,620.13,8.36,27.26,0.17,11.56,65.11,-203.2,20.57,28.98,5.97,-3.16,75.4,0.0,2.49,Micro Cap,Financial Services,Financial Services
Naapbooks,175.94,5.01,27.25,0.03,7.66,53.16,-26.85,20.67,8.3,65.98,49.9,136.18,0.0,0.0,Micro Cap,Information Technology,Information Technology
Medistep Health.,28.28,3.01,27.25,0.14,4.21,68.96,-3.17,21.88,5.98,11.65,0.0,0.0,0.0,0.0,Micro Cap,Healthcare,Healthcare
Krishana Phosch.,4130.29,83.08,27.24,1.31,29.75,72.94,-40.0,38.15,180.15,12.34,95.66,88.87,0.26,0.0,Small Cap,Chemicals,Chemicals
Gurunanak Agri.,42.3,4.0,27.24,0.04,5.07,68.0,-13.78,20.46,6.08,22.65,2.56,117.61,0.0,1.64,Micro Cap,Agriculture,Agriculture
Nazara Technolo.,11258.49,55.7,27.23,0.06,2.59,35.46,1904.22,30.49,965.87,-1.61,18.79,193.63,13.3,2.16,Mid Cap,"Media, Entertainment & Publication","Media, Entertainment & Publication"
Danlaw Tech.,496.44,9.54,27.22,0.3,47.2,61.88,37.55,26.06,22.99,15.01,16.16,46.78,0.0,0.0,Micro Cap,Information Technology,Information Technology
Optivalue Tek,172.31,6.54,27.18,0.1,5.88,64.07,-15.85,22.22,13.76,19.7,32.69,70.63,3.42,0.88,Micro Cap,Information Technology,Information Technology
Kiduja India,38.21,0.14,27.16,0.0,0.93,75.0,1.75,0.0,2.23,91.07,112.55,32.75,0.0,0.0,Micro Cap,Consumer Services,Consumer Services
Jenburkt Pharma,497.03,10.85,27.15,0.01,78.72,46.64,55.93,20.4,37.62,25.92,7.26,15.2,0.0,0.12,Micro Cap,Healthcare,Healthcare
Maxvolt Energy,408.41,11.46,27.12,0.82,22.36,39.14,-10.66,28.2,24.38,12.0,178.89,343.23,0.43,0.76,Micro Cap,Power,Power
Vaidal Enterp.,842.8,-4.22,27.08,1.88,121.13,51.06,-67.29,37.75,10.45,3.02,9.38,23.93,0.54,0.0,Micro Cap,Consumer Services,Consumer Services
Anlon Tech,422.24,8.45,27.08,0.16,22.19,62.06,-40.4,21.11,13.88,19.76,47.67,46.22,0.97,12.36,Micro Cap,Information Technology,Information Technology
Sky Gold & Diam.,7928.71,90.72,27.02,0.73,17.78,51.74,-39.24,29.25,275.32,6.9,76.05,145.49,1.2,13.14,Small Cap,Consumer Durables,Consumer Durables
CG Power & Ind,150519.52,363.46,27.01,0.01,7.66,56.36,360.99,20.82,1229.59,13.09,21.21,10.29,12.03,18.01,Large Cap,Capital Goods,Capital Goods
Gabriel India,18308.54,61.25,27.0,0.03,16.93,63.55,282.66,20.35,253.29,8.71,12.52,24.21,6.51,12.8,Mid Cap,Automobile and Auto Components,Automobile and Auto Components
Stylam Industrie,5584.52,37.9,26.98,0.04,88.19,54.11,179.31,20.41,149.47,19.51,5.85,15.94,2.81,13.31,Small Cap,Chemicals,Chemicals
Current Infra.,210.63,10.16,26.98,0.41,7.34,70.52,0.0,27.17,14.05,14.48,0.0,0.0,3.98,10.67,Micro Cap,Power,Power
