company_name,symbol,market_cap,np_qtr,roce,debt_equity,eps_12m,promoter_holding,cmp_pcf,roe,pat_12m,opm,sales_growth_3y,profit_growth_3y,fii_holding,dii_holding,cap_category,sector,industry
Prime Cable Industries Limited,PRIMECAB,223.74,6.76,27.78,0.85,6.68,68.53,-15.79,36.4,13.72,10.0,47.25,350.56,1.05,10.81,Micro Cap,Capital Goods,Capital Goods
Samay Project Services Limited,SAMAY,71.38,4.0,27.7,0.09,4.48,69.19,-55.73,21.24,6.39,15.13,35.1,34.78,0.29,4.09,Micro Cap,Construction,Construction
Monarch Networth Capital Limited,MONARCH,2696.56,45.56,27.68,0.04,22.86,53.85,1516.56,20.49,181.19,69.27,32.08,61.56,1.47,0.15,Small Cap,Financial Services,Financial Services
Chemkart India Ltd,CHEMKART,179.67,9.51,27.66,0.04,16.25,74.66,-68.32,21.48,19.66,13.12,17.81,36.92,0.4,4.33,Micro Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
Aimtron Electronics Limited,AIMTRON,2579.86,25.69,27.65,0.24,22.31,70.9,-66.49,23.6,45.97,21.84,0.0,0.0,0.22,2.17,Small Cap,Capital Goods,Capital Goods
Teerth Gopicon Limited,TGL,19.62,-19.13,27.59,0.96,-13.18,63.37,-1.26,26.96,-15.81,-12.44,55.97,340.72,0.0,0.0,Micro Cap,Construction,Construction
NMDC Limited,NMDC,75205.77,2027.17,27.58,0.19,8.47,60.79,37.34,23.37,7451.1,28.87,21.99,16.81,13.6,13.76,Large Cap,Metals and Mining,Metals and Mining
Defrail Technologies Ltd,DEFRAIL,48.52,2.48,27.58,0.28,5.71,73.6,-8.88,24.44,4.01,9.4,33.53,65.79,4.51,1.66,Micro Cap,Capital Goods,Capital Goods
ASM Technologies,ASMTEC,5823.22,16.75,27.56,0.42,41.65,57.96,-223.17,26.23,61.92,19.02,33.85,89.15,0.23,0.43,Small Cap,Information Technology,Information Technology
Fractal Industries Ltd,FIL,168.52,6.46,27.51,0.15,16.98,69.07,-109.45,29.71,13.33,19.75,0.0,0.0,15.17,2.82,Micro Cap,Textiles,Textiles
United Spirits,MCDOWELL-N,97591.73,539.0,27.49,0.05,25.27,56.67,67.2,21.41,1826.21,18.28,5.52,23.45,14.41,15.36,Large Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
Jamna Auto Industries Limited,JAMNAAUTO,5317.87,87.27,27.47,0.01,5.78,49.85,55.01,22.37,239.36,15.16,3.95,12.45,9.25,4.83,Small Cap,Automobile and Auto Components,Automobile and Auto Components
Gulf Oil Lubricants India Limited,GULFOILLUB,5415.17,90.02,27.46,0.33,71.04,67.01,15.62,24.29,367.31,12.79,10.0,16.77,8.91,8.17,Small Cap,"Oil, Gas and Consumable Fuels","Oil, Gas and Consumable Fuels"
Ceinsys Tech Limited,CEINSYS,1931.1,37.17,27.46,0.08,63.72,50.88,606.31,24.76,134.34,22.1,44.39,63.33,10.25,0.19,Small Cap,Information Technology,Information Technology
Nitta Gelatin India Limited,NITTAGELA,1506.22,34.1,27.39,0.01,107.1,74.48,22.43,21.07,98.29,23.2,1.33,12.9,0.0,0.93,Small Cap,Chemicals,Chemicals
Highness Microelectronics Ltd,HIGHNESS,100.85,3.18,27.39,0.29,7.94,64.96,258.19,24.33,4.1,41.07,18.61,112.05,5.35,10.62,Micro Cap,Capital Goods,Capital Goods
RNFI Services Limited,RNFI,620.13,8.36,27.26,0.17,11.56,65.11,-203.2,20.57,28.98,5.97,-3.16,75.4,0.0,2.49,Micro Cap,Financial Services,Financial Services
Nazara Technologies Limited,NAZARA,11258.49,55.7,27.23,0.06,2.59,35.46,1904.22,30.49,965.87,-1.61,18.79,193.63,13.3,2.16,Mid Cap,"Media, Entertainment & Publication","Media, Entertainment & Publication"
Optivalue Tek Consulting Limited,OPTIVALUE,172.31,6.54,27.18,0.1,5.88,64.07,-15.85,22.22,13.76,19.7,32.69,70.63,3.42,0.88,Micro Cap,Information Technology,Information Technology
Maxvolt Energy Industries Limited,MAXVOLT,408.41,11.46,27.12,0.82,22.36,39.14,-10.66,28.2,24.38,12.0,178.89,343.23,0.43,0.76,Micro Cap,Power,Power
SKY GOLD AND DIAMONDS LIMITED,SKYGOLD,7928.71,90.72,27.02,0.73,17.78,51.74,-39.24,29.25,275.32,6.9,76.05,145.49,1.2,13.14,Small Cap,Consumer Durables,Consumer Durables
CG Power and Industrial Solutions Limited,CGPOWER,150519.52,363.46,27.01,0.01,7.66,56.36,360.99,20.82,1229.59,13.09,21.21,10.29,12.03,18.01,Large Cap,Capital Goods,Capital Goods
Gabriel India Limited,GABRIEL,18308.54,61.25,27.0,0.03,16.93,63.55,282.66,20.35,253.29,8.71,12.52,24.21,6.51,12.8,Mid Cap,Automobile and Auto Components,Automobile and Auto Components
Cryogenic Ogs Ltd,CRYOGENIC,382.7,4.47,26.9,0.15,7.13,74.29,119.27,22.14,9.26,27.76,22.86,33.18,0.0,1.65,Micro Cap,Capital Goods,Capital Goods
Spunweb Nonwoven Limited,SPUNWEB,266.46,12.33,26.87,0.63,9.57,65.27,-30.79,27.44,23.07,17.25,40.93,173.31,0.05,5.06,Micro Cap,Textiles,Textiles
Prime Cable Industries Limited,PRIMECAB,92.42,3.03,26.87,0.99,4.0,26.07,0.0,21.75,8.41,17.61,0.0,0.0,0.0,0.97,Micro Cap,Chemicals,Chemicals
Shringar House of Mangalsutra Limited,SHRINGARMS,2116.76,34.01,26.83,0.28,11.98,74.8,-20.17,26.29,115.49,7.07,33.2,70.36,5.77,1.53,Small Cap,Consumer Durables,Consumer Durables
Procter & Gamble Hygiene and Health Care Limited,PGHH,28593.07,153.13,157.48,0.0,263.86,70.64,38.83,114.93,856.5,27.29,3.22,14.07,0.97,15.96,Mid Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
Ksolves India Limited,KSOLVES,675.55,9.02,127.4,0.2,13.95,58.92,23.11,131.53,33.08,29.34,27.72,9.98,0.08,0.01,Micro Cap,Information Technology,Information Technology
Indosolar Limited,WAAREEINDO,1635.7,42.0,123.8,0.01,59.27,74.93,60.92,150.63,246.6,39.82,0.0,230.81,0.55,0.13,Small Cap,Power,Power
Tips Music Limited,TIPSMUSIC,7979.88,59.06,122.19,0.02,16.96,64.15,44.34,92.33,216.75,73.44,26.21,41.58,7.48,4.94,Small Cap,"Media, Entertainment & Publication","Media, Entertainment & Publication"
ICICI Prudential Life Insurance Company Limited,ICICIPRULI,162084.32,763.42,115.1,0.0,66.73,87.59,69.15,85.8,3298.26,75.48,28.35,29.58,2.4,7.18,Large Cap,Financial Services,Financial Services
Colgate Palmolive (India) Limited,COLPAL,54389.02,353.32,108.0,0.03,48.73,51.0,39.06,82.73,1343.74,30.98,4.91,8.39,13.6,15.25,Large Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
Emiac Technologies Ltd,EMIAC,119.98,-0.93,99.84,0.02,4.02,50.0,84.59,23.04,3.62,48.16,122.33,110.16,3.92,8.43,Micro Cap,"Media, Entertainment & Publication","Media, Entertainment & Publication"
Gravita India Limited,GRAVITA,12262.09,91.81,17.02,0.3,51.32,55.8,490.47,18.76,378.8,10.2,15.05,22.72,13.94,5.15,Mid Cap,Metals and Mining,Metals and Mining
Premium Plast Limited,PREMIUM,84.12,2.94,17.01,0.09,3.8,68.73,-12.31,11.67,6.87,18.94,16.13,62.87,1.7,2.84,Micro Cap,Chemicals,Chemicals
BLS E-Services Limited,BLSE,2119.25,18.24,17.0,0.01,6.33,69.81,57.18,11.44,57.5,6.7,66.3,41.36,0.46,0.01,Small Cap,Services,Services
